architecture,decision_type,metric,value
Pure,Overall,energy_cost_MAE,2.6037
Pure,Overall,energy_cost_RMSE,3.1508
Pure,Overall,environmental_MAE,2.8042
Pure,Overall,environmental_RMSE,3.3056
Pure,Overall,comfort_MAE,2.5146
Pure,Overall,comfort_RMSE,3.075
Pure,Overall,practicality_MAE,2.1619
Pure,Overall,practicality_RMSE,2.7043
Pure,Overall,overall_MAE,2.5211
Pure,Overall,overall_RMSE,3.0669
Pure,Overall,kendall_tau,-0.06
Pure,Overall,spearman_rho,-0.055
Pure,Overall,top1_accuracy,0.3
Pure,Overall,top2_accuracy,0.62
Pure,Overall,n_scenarios_evaluated,100
Pure,HVAC,energy_cost_MAE,2.2537
Pure,HVAC,energy_cost_RMSE,2.7489
Pure,HVAC,environmental_MAE,2.3763
Pure,HVAC,environmental_RMSE,2.8233
Pure,HVAC,comfort_MAE,2.1877
Pure,HVAC,comfort_RMSE,2.6161
Pure,HVAC,practicality_MAE,1.6232
Pure,HVAC,practicality_RMSE,1.9135
Pure,HVAC,overall_MAE,2.1102
Pure,HVAC,overall_RMSE,2.5511
Pure,HVAC,kendall_tau,-0.1111
Pure,HVAC,spearman_rho,-0.125
Pure,HVAC,top1_accuracy,0.25
Pure,HVAC,top2_accuracy,0.5667
Pure,HVAC,n_scenarios_evaluated,60
Pure,Appliance,energy_cost_MAE,3.0725
Pure,Appliance,energy_cost_RMSE,3.6609
Pure,Appliance,environmental_MAE,3.0908
Pure,Appliance,environmental_RMSE,3.6515
Pure,Appliance,comfort_MAE,3.5869
Pure,Appliance,comfort_RMSE,4.1978
Pure,Appliance,practicality_MAE,3.4985
Pure,Appliance,practicality_RMSE,4.0531
Pure,Appliance,overall_MAE,3.3122
Pure,Appliance,overall_RMSE,3.8982
Pure,Appliance,kendall_tau,0.0933
Pure,Appliance,spearman_rho,0.14
Pure,Appliance,top1_accuracy,0.4
Pure,Appliance,top2_accuracy,0.72
Pure,Appliance,n_scenarios_evaluated,25
Pure,Shower,energy_cost_MAE,3.2227
Pure,Shower,energy_cost_RMSE,3.6908
Pure,Shower,environmental_MAE,4.0384
Pure,Shower,environmental_RMSE,4.329
Pure,Shower,comfort_MAE,2.0349
Pure,Shower,comfort_RMSE,2.5087
Pure,Shower,practicality_MAE,2.0891
Pure,Shower,practicality_RMSE,2.5939
Pure,Shower,overall_MAE,2.8463
Pure,Shower,overall_RMSE,3.3684
Pure,Shower,kendall_tau,-0.1111
Pure,Shower,spearman_rho,-0.1
Pure,Shower,top1_accuracy,0.3333
Pure,Shower,top2_accuracy,0.6667
Pure,Shower,n_scenarios_evaluated,15
RAG,Overall,energy_cost_MAE,1.6043
RAG,Overall,energy_cost_RMSE,2.1698
RAG,Overall,environmental_MAE,1.5912
RAG,Overall,environmental_RMSE,2.1622
RAG,Overall,comfort_MAE,1.9696
RAG,Overall,comfort_RMSE,2.9264
RAG,Overall,practicality_MAE,1.2945
RAG,Overall,practicality_RMSE,2.2406
RAG,Overall,overall_MAE,1.6149
RAG,Overall,overall_RMSE,2.3962
RAG,Overall,kendall_tau,0.4333
RAG,Overall,spearman_rho,0.49
RAG,Overall,top1_accuracy,0.58
RAG,Overall,top2_accuracy,0.89
RAG,Overall,n_scenarios_evaluated,100
RAG,HVAC,energy_cost_MAE,2.036
RAG,HVAC,energy_cost_RMSE,2.5325
RAG,HVAC,environmental_MAE,2.0366
RAG,HVAC,environmental_RMSE,2.5332
RAG,HVAC,comfort_MAE,1.4068
RAG,HVAC,comfort_RMSE,2.0549
RAG,HVAC,practicality_MAE,0.3719
RAG,HVAC,practicality_RMSE,0.6899
RAG,HVAC,overall_MAE,1.4628
RAG,HVAC,overall_RMSE,2.0934
RAG,HVAC,kendall_tau,0.5222
RAG,HVAC,spearman_rho,0.575
RAG,HVAC,top1_accuracy,0.6333
RAG,HVAC,top2_accuracy,0.9333
RAG,HVAC,n_scenarios_evaluated,60
RAG,Appliance,energy_cost_MAE,0.7987
RAG,Appliance,energy_cost_RMSE,1.2788
RAG,Appliance,environmental_MAE,0.9119
RAG,Appliance,environmental_RMSE,1.3995
RAG,Appliance,comfort_MAE,3.884
RAG,Appliance,comfort_RMSE,4.78
RAG,Appliance,practicality_MAE,2.994
RAG,Appliance,practicality_RMSE,3.7706
RAG,Appliance,overall_MAE,2.1471
RAG,Appliance,overall_RMSE,3.1883
RAG,Appliance,kendall_tau,0.4133
RAG,Appliance,spearman_rho,0.48
RAG,Appliance,top1_accuracy,0.56
RAG,Appliance,top2_accuracy,0.88
RAG,Appliance,n_scenarios_evaluated,25
RAG,Shower,energy_cost_MAE,1.22
RAG,Shower,energy_cost_RMSE,1.734
RAG,Shower,environmental_MAE,0.9416
RAG,Shower,environmental_RMSE,1.4947
RAG,Shower,comfort_MAE,1.03
RAG,Shower,comfort_RMSE,1.4571
RAG,Shower,practicality_MAE,2.1522
RAG,Shower,practicality_RMSE,2.8054
RAG,Shower,overall_MAE,1.3359
RAG,Shower,overall_RMSE,1.9516
RAG,Shower,kendall_tau,0.1111
RAG,Shower,spearman_rho,0.1667
RAG,Shower,top1_accuracy,0.4
RAG,Shower,top2_accuracy,0.7333
RAG,Shower,n_scenarios_evaluated,15
Hybrid,Overall,extraction_failure_rate,0
Hybrid,Overall,calculation_failure_rate,0
Hybrid,Overall,total_failure_rate,0
Hybrid,Overall,n_extraction_failures,0
Hybrid,Overall,n_calculation_failures,0
Hybrid,Overall,n_total_arch_scenarios,100
Hybrid,Overall,energy_cost_MAE,0.9622
Hybrid,Overall,energy_cost_RMSE,1.4777
Hybrid,Overall,environmental_MAE,1.0238
Hybrid,Overall,environmental_RMSE,1.6745
Hybrid,Overall,comfort_MAE,0.3226
Hybrid,Overall,comfort_RMSE,1.4366
Hybrid,Overall,practicality_MAE,0.4332
Hybrid,Overall,practicality_RMSE,1.4592
Hybrid,Overall,overall_MAE,0.6854
Hybrid,Overall,overall_RMSE,1.515
Hybrid,Overall,kendall_tau,0.8
Hybrid,Overall,spearman_rho,0.82
Hybrid,Overall,top1_accuracy,0.83
Hybrid,Overall,top2_accuracy,0.97
Hybrid,Overall,n_scenarios_evaluated,100
Hybrid,HVAC,energy_cost_MAE,1.1858
Hybrid,HVAC,energy_cost_RMSE,1.7268
Hybrid,HVAC,environmental_MAE,1.3083
