Scope,Criterion,Bias,MAE,RMSE,Within_1pt_pct,Catastrophic_pct
Overall,Practicality,0.168,0.620,1.131,89.7,6.3
Overall,Comfort,-0.362,0.648,1.093,89.0,5.3
Overall,Environmental_Impact,-0.553,0.833,1.288,83.0,7.0
Overall,Energy_Cost,0.383,0.800,1.206,84.7,6.3
Overall,ALL,-0.091,0.725,1.182,86.6,6.2
HVAC,Practicality,0.021,0.712,1.336,86.7,9.4
HVAC,Comfort,-0.460,0.810,1.317,86.1,8.3
HVAC,Environmental_Impact,-0.484,0.889,1.503,85.0,11.1
HVAC,Energy_Cost,0.389,0.971,1.415,77.8,9.4
HVAC,ALL,-0.134,0.846,1.394,83.9,9.6
Appliance,Practicality,0.367,0.444,0.563,94.7,0.0
Appliance,Comfort,-0.176,0.453,0.645,92.0,0.0
Appliance,Environmental_Impact,-0.625,0.764,0.861,76.0,0.0
Appliance,Energy_Cost,0.335,0.492,0.581,96.0,0.0
Appliance,ALL,-0.025,0.538,0.673,89.7,0.0
Shower,Practicality,0.424,0.549,0.929,93.3,4.4
Shower,Comfort,-0.282,0.327,0.576,95.6,2.2
Shower,Environmental_Impact,-0.711,0.720,0.892,86.7,2.2
Shower,Energy_Cost,0.438,0.629,1.065,93.3,4.4
Shower,ALL,-0.033,0.556,0.884,92.2,3.3

Scope,Mean_rho,Median_rho,Mean_tau,Median_tau,Top1,Top2,rho_gt_0.7,tau_gt_0.6,N
Overall,0.775,1.000,0.747,1.000,0.790,0.940,70,70,100
HVAC,0.767,1.000,0.756,1.000,0.767,0.917,44,44,60
Appliance,0.720,1.000,0.653,1.000,0.840,0.960,14,14,25
Shower,0.900,1.000,0.867,1.000,0.800,1.000,12,12,15
